2025-11-17 00:00:27 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:02:30 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:04:33 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:06:36 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:08:38 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:10:41 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:12:44 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:14:47 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:16:49 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:18:52 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:20:55 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:22:58 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:25:00 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:27:03 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:29:06 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:31:09 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:33:11 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:35:14 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:37:17 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:39:20 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:41:22 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:43:25 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:45:28 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:47:31 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:49:33 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:51:36 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:53:38 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=LONG | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:55:41 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
2025-11-17 00:57:43 | INFO     | Candle-close switch to final signal | from_side=NONE | to_side=SHORT | candle_id=1970-01-01 00:00:01_15min
