2025-11-17 00:00:29 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735723 | tf=15min | signal=LONG | futures_price=51429.1
2025-11-17 00:02:31 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735724 | tf=15min | signal=LONG | futures_price=51480.0
2025-11-17 00:04:34 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735789 | tf=15min | signal=SHORT | futures_price=51360.0
2025-11-17 00:06:37 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735790 | tf=15min | signal=LONG | futures_price=51490.65
2025-11-17 00:08:40 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735791 | tf=15min | signal=SHORT | futures_price=51462.0
2025-11-17 00:10:42 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735792 | tf=15min | signal=SHORT | futures_price=51425.0
2025-11-17 00:12:45 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735793 | tf=15min | signal=LONG | futures_price=51531.3
2025-11-17 00:14:48 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735794 | tf=15min | signal=SHORT | futures_price=51500.0
2025-11-17 00:16:51 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735794 | tf=15min | signal=LONG | futures_price=51555.0
2025-11-17 00:18:53 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735795 | tf=15min | signal=LONG | futures_price=51566.4
2025-11-17 00:20:56 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735796 | tf=15min | signal=LONG | futures_price=51614.4
2025-11-17 00:22:59 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735797 | tf=15min | signal=SHORT | futures_price=51533.0
2025-11-17 00:25:02 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735798 | tf=15min | signal=SHORT | futures_price=51478.45
2025-11-17 00:27:04 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735799 | tf=15min | signal=SHORT | futures_price=51412.75
2025-11-17 00:29:07 | INFO     | Sim candle processed | candle_time=1970-01-01T00:00:01.735800 | tf=15min | signal=LONG | futures_price=51535.0
