time,open,high,low,close,Kernel Regression Estimate,Buy,Sell,StopBuy,StopSell,🚫
1741064400,48514.95,48579.95,48467.1,48470,48426.3395272973,NaN,NaN,NaN,NaN,0
1741065300,48469.95,48516,48446.65,48490,48434.435270448535,NaN,NaN,NaN,NaN,0
1741066200,48497.65,48560,48482.25,48490,48441.9118018934,NaN,NaN,NaN,NaN,0
1741067100,48490,48515.8,48455.55,48480,48447.85993304799,NaN,NaN,NaN,NaN,0
1741068000,48480,48504,48402.1,48410.45,48446.86789378067,NaN,NaN,NaN,NaN,0
1741068900,48410.05,48432,48352.05,48430,48447.0338904253,NaN,NaN,NaN,NaN,0
1741069800,48432,48444,48374.05,48374.05,48441.63036420352,NaN,NaN,NaN,NaN,0
1741070700,48379.25,48456.45,48355.15,48448.45,48442.47074683952,NaN,NaN,NaN,NaN,0
1741071600,48442.4,48490,48442.4,48450,48443.249462585576,NaN,NaN,NaN,NaN,0
1741072500,48451.05,48466,48427.05,48432.5,48442.27339126969,NaN,NaN,NaN,NaN,0
1741073400,48434.4,48465,48379.8,48464.95,48444.21261735557,NaN,NaN,NaN,NaN,0
1741074300,48464.95,48485,48441.15,48460.2,48445.591153900634,NaN,NaN,NaN,NaN,0
1741075200,48465,48500,48410,48457.95,48446.87734911713,NaN,NaN,NaN,NaN,0
1741076100,48457.95,48519.55,48440.95,48505.2,48452.38787525472,NaN,NaN,NaN,NaN,0
1741077000,48502.2,48585.65,48482,48549.5,48461.93849706358,NaN,NaN,NaN,NaN,0
1741077900,48547.9,48550.9,48496.1,48510.6,48467.68650301415,NaN,NaN,NaN,NaN,0
1741078800,48512.95,48512.95,48421.85,48424.7,48465.215532510825,NaN,NaN,NaN,NaN,0
1741079700,48422.15,48423.05,48360,48380.7,48458.49311010931,NaN,NaN,NaN,NaN,0
1741080600,48383,48435,48363.25,48426.65,48455.80684961482,NaN,NaN,NaN,NaN,0
1741081500,48425.05,48540,48425.05,48492,48458.99771977055,NaN,NaN,NaN,NaN,0
1741146300,48492,48700,48433.15,48690,48480.156381996945,NaN,NaN,NaN,NaN,0
1741147200,48700,48748.45,48650,48721,48503.91857551841,NaN,NaN,NaN,NaN,0
