datetime,expected_direction,open,high,low,close,volume,ml_prediction,ml_signal,ml_signal_type,entry_triggered,kernel_current,kernel_previous,kernel_change,kernel_bullish,kernel_bearish,vol_filter_pass,reg_filter_pass,combined_filter_pass,blocked_by
2025-06-02 09:15,SHORT,56100.0,56100.0,55719.0,55785.4,228510,1.0,1,LONG,NONE,55974.26209985092,55986.554168356175,-12.292068505252246,False,True,True,True,True,Kernel_not_bull
2025-06-02 12:30,LONG,56017.6,56130.0,56011.8,56098.2,76590,3.0,1,LONG,NONE,55977.33668122495,55964.42584134125,12.910839883697918,True,False,True,False,False,Reg_filter
2025-06-03 09:15,LONG,56275.0,56355.0,56100.0,56118.0,169290,3.0,1,LONG,NONE,56095.111740946995,56089.231518110326,5.880222836669418,True,False,True,False,False,Reg_filter
2025-06-04 14:45,LONG,55974.6,56045.8,55971.4,56030.4,41580,-1.0,-1,SHORT,NONE,55948.57061431696,55939.67363945347,8.896974863491778,True,False,True,False,False,Reg_filter; Kernel_not_bear
2025-06-06 09:30,SHORT,55945.0,55950.2,55855.2,55858.6,118680,1.0,1,LONG,NONE,56000.07001169849,56015.13269186209,-15.062680163602636,False,True,True,True,True,Kernel_not_bull
2025-06-13 09:15,SHORT,55555.6,55740.0,55350.6,55685.0,309270,-5.0,-1,SHORT,NONE,56300.88172022581,56367.34209525063,-66.46037502482068,False,True,True,True,True,Re-entry_or_other
2025-06-16 11:00,LONG,55795.2,55950.0,55790.0,55895.6,75750,1.0,1,LONG,NONE,55684.12707168496,55660.71984584851,23.407225836454018,True,False,True,True,True,Re-entry_or_other
2025-06-18 11:30,SHORT,55819.0,55850.0,55735.0,55840.0,65430,3.0,1,LONG,NONE,55885.08277745753,55887.72234334096,-2.6395658834298956,False,True,True,False,False,Reg_filter; Kernel_not_bull
2025-06-20 09:30,LONG,55783.0,55835.0,55731.0,55833.0,37590,3.0,1,LONG,LONG,55729.96835923704,55720.87222725893,9.09613197811268,True,False,True,True,True,NOT_BLOCKED
2025-07-08 09:15,LONG,57290.0,57380.0,57149.2,57299.0,115640,-1.0,-1,SHORT,NONE,57195.524873461945,57185.55273339666,9.972140065285203,True,False,True,True,True,Kernel_not_bear
2025-07-11 09:15,SHORT,57075.0,57225.0,57050.0,57208.6,84175,-1.0,-1,SHORT,NONE,57229.222919061736,57233.44145887295,-4.218539811212395,False,True,True,False,False,Reg_filter
2025-07-18 11:00,SHORT,56380.0,56473.0,56365.0,56457.0,46655,-3.0,-1,SHORT,NONE,56698.896882585694,56738.27294476177,-39.3760621760739,False,True,True,False,False,Reg_filter
2025-07-21 09:45,LONG,56557.2,56789.8,56546.2,56744.8,191870,3.0,1,LONG,LONG,56469.39133887422,56442.36617767415,27.025161200072034,True,False,True,True,True,NOT_BLOCKED
2025-07-23 14:45,LONG,57225.6,57294.0,57210.2,57235.0,44030,3.0,1,LONG,NONE,57124.60838603355,57106.25976946263,18.34861657091824,True,False,True,False,False,Reg_filter
2025-07-24 09:45,SHORT,57140.8,57150.0,57056.6,57106.2,44100,3.0,1,LONG,NONE,57156.5945870898,57158.37599995832,-1.7814128685204196,False,True,True,False,False,Reg_filter; Kernel_not_bull
2025-07-28 10:15,LONG,56580.0,56670.0,56567.0,56650.0,68425,-1.0,-1,SHORT,NONE,56570.31742963206,56566.53493598273,3.7824936493270798,True,False,False,True,False,Vol_filter; Kernel_not_bear
2025-07-29 09:15,SHORT,55999.2,56159.2,55979.0,56157.6,71435,-3.0,-1,SHORT,NONE,56229.25497931617,56242.50662524519,-13.251645929020015,False,True,True,False,False,Reg_filter
2025-08-06 13:30,LONG,55690.0,55749.0,55654.2,55701.0,64015,-1.0,-1,SHORT,NONE,55571.7854996132,55556.06764491394,15.717854699258169,True,False,True,True,True,Kernel_not_bear
2025-08-07 14:15,LONG,55329.8,55476.0,55329.8,55435.0,70980,1.0,1,LONG,LONG,55314.691090469845,55305.96326855347,8.727821916378161,True,False,True,True,True,NOT_BLOCKED
2025-08-11 14:30,LONG,55534.2,55590.0,55483.4,55510.0,78050,-1.0,-1,SHORT,NONE,55429.983550750905,55418.236656856985,11.74689389392006,True,False,True,False,False,Reg_filter; Kernel_not_bear
