tv_time,direction,status,time_diff_minutes,tv_signal_raw,tv_prediction,tv_filter_pass,tv_kernel_bullish,tv_kernel_bearish,tv_start_long,tv_start_short,sys_time,sys_signal_raw,sys_prediction,sys_filter_pass,sys_kernel_bullish,sys_kernel_bearish,sys_start_long,sys_start_short
2025-06-02 09:15:00+05:30,SHORT,late,1650.0,1,1.0,True,False,True,False,False,2025-06-03 12:45:00+05:30,-1,-3.0,True,False,True,False,True
2025-06-02 12:30:00+05:30,LONG,late,4290.0,1,3.0,False,True,False,False,False,2025-06-05 12:00:00+05:30,1,1.0,True,True,False,True,False
2025-06-03 09:15:00+05:30,LONG,late,3045.0,1,3.0,False,True,False,False,False,2025-06-05 12:00:00+05:30,1,1.0,True,True,False,True,False
2025-06-04 14:45:00+05:30,LONG,late,1275.0,-1,-1.0,False,True,False,False,False,2025-06-05 12:00:00+05:30,1,1.0,True,True,False,True,False
2025-06-06 09:30:00+05:30,SHORT,early,-4125.0,1,1.0,True,False,True,False,False,2025-06-03 12:45:00+05:30,-1,-3.0,True,False,True,False,True
2025-06-13 09:15:00+05:30,SHORT,late,105.0,-1,-5.0,True,False,True,False,False,2025-06-13 11:00:00+05:30,-1,-1.0,True,False,True,False,True
2025-06-16 11:00:00+05:30,LONG,early,-45.0,1,1.0,True,True,False,False,False,2025-06-16 10:15:00+05:30,1,1.0,True,True,False,True,False
2025-06-18 11:30:00+05:30,SHORT,late,1500.0,1,3.0,False,False,True,False,False,2025-06-19 12:30:00+05:30,-1,-3.0,True,False,True,False,True
2025-06-20 09:30:00+05:30,LONG,early,-1455.0,1,3.0,True,True,False,True,False,2025-06-19 09:15:00+05:30,1,1.0,True,True,False,True,False
2025-07-08 09:15:00+05:30,LONG,late,345.0,-1,-1.0,True,True,False,False,False,2025-07-08 15:00:00+05:30,1,1.0,True,True,False,True,False
2025-07-11 09:15:00+05:30,SHORT,late,45.0,-1,-1.0,False,False,True,False,False,2025-07-11 10:00:00+05:30,-1,-1.0,True,False,True,False,True
2025-07-18 11:00:00+05:30,SHORT,late,255.0,-1,-3.0,False,False,True,False,False,2025-07-18 15:15:00+05:30,-1,-1.0,True,False,True,False,True
2025-07-21 09:45:00+05:30,LONG,late,180.0,1,3.0,True,True,False,True,False,2025-07-21 12:45:00+05:30,1,3.0,True,True,False,True,False
2025-07-23 14:45:00+05:30,LONG,early,-150.0,1,3.0,False,True,False,False,False,2025-07-23 12:15:00+05:30,1,3.0,True,True,False,True,False
